entidad_federativa,accidentes_anual,heridos_anual,muertos_anual,danios_millones_anual,tasa_letalidad,tasa_heridos,pct_fin_de_semana,pct_nocturno
Aguascalientes,179.0,200.0,49.0,10.327,27.37430167597765,111.73184357541899,0.3687150837988827,0.49162011173184356
Baja California,377.0,239.0,83.0,22.5462,22.015915119363395,63.395225464190986,0.41909814323607425,0.4403183023872679
Baja California Sur,201.0,140.0,47.0,9.5933,23.383084577114428,69.65174129353234,0.38308457711442784,0.4527363184079602
Campeche,195.0,112.0,33.0,16.9182,16.923076923076923,57.43589743589743,0.3128205128205128,0.49743589743589745
Chiapas,676.0,421.0,116.0,48.8681,17.159763313609467,62.278106508875744,0.30029585798816566,0.46893491124260356
Chihuahua,456.0,301.0,124.0,46.0602,27.192982456140353,66.00877192982456,0.4451754385964912,0.46710526315789475
Ciudad de Mexico,67.0,78.0,19.0,5.276,28.35820895522388,116.4179104477612,0.4925373134328358,0.417910447761194
Coahuila,171.0,158.0,69.0,9.9252,40.35087719298245,92.39766081871345,0.36257309941520466,0.3684210526315789
Colima,167.0,138.0,34.0,17.445,20.35928143712575,82.63473053892216,0.2754491017964072,0.46706586826347307
Durango,225.0,294.0,76.0,25.9376,33.77777777777778,130.66666666666666,0.3688888888888889,0.4444444444444444
Estado de Mexico,601.0,490.0,195.0,67.794,32.4459234608985,81.53078202995009,0.33943427620632277,0.5041597337770383
Guanajuato,663.0,679.0,190.0,63.2419,28.657616892911008,102.41327300150829,0.3861236802413273,0.5007541478129713
Guerrero,393.0,312.0,131.0,31.6522,33.33333333333333,79.38931297709924,0.37150127226463103,0.49872773536895676
Hidalgo,268.0,144.0,58.0,22.285,21.641791044776117,53.73134328358209,0.3694029850746269,0.4962686567164179
Jalisco,484.0,313.0,184.0,45.4195,38.01652892561984,64.6694214876033,0.365702479338843,0.4772727272727273
Michoacan,469.0,255.0,130.0,45.496,27.718550106609808,54.37100213219617,0.37100213219616207,0.4349680170575693
Morelos,201.0,118.0,23.0,18.4208,11.442786069651742,58.70646766169154,0.47761194029850745,0.5472636815920398
Nayarit,250.0,116.0,52.0,31.204,20.8,46.400000000000006,0.368,0.4
Nuevo Leon,588.0,362.0,117.0,69.7406,19.897959183673468,61.564625850340136,0.3435374149659864,0.4064625850340136
Oaxaca,307.0,297.0,50.0,22.1725,16.286644951140065,96.74267100977198,0.3289902280130293,0.46254071661237783
Puebla,371.0,285.0,122.0,28.8526,32.88409703504043,76.81940700808624,0.38274932614555257,0.49326145552560646
Queretaro,352.0,161.0,56.0,24.9967,15.909090909090908,45.73863636363637,0.3693181818181818,0.5056818181818182
Quintana Roo,185.0,91.0,52.0,12.699300000000001,28.10810810810811,49.18918918918919,0.35135135135135137,0.4864864864864865
San Luis Potosi,420.0,291.0,140.0,44.0389,33.33333333333333,69.28571428571428,0.3619047619047619,0.4380952380952381
Sinaloa,322.0,303.0,96.0,26.3105,29.81366459627329,94.09937888198758,0.3944099378881988,0.4813664596273292
Sonora,261.0,313.0,81.0,30.343600000000002,31.03448275862069,119.92337164750957,0.3486590038314176,0.38697318007662834
Tabasco,437.0,163.0,45.0,25.2913,10.297482837528605,37.29977116704806,0.34553775743707094,0.4622425629290618
Tamaulipas,423.0,439.0,134.0,51.1445,31.678486997635936,103.7825059101655,0.36879432624113473,0.39952718676122934
Tlaxcala,238.0,168.0,16.0,13.8217,6.722689075630252,70.58823529411765,0.3697478991596639,0.5336134453781513
Veracruz,1290.0,891.0,269.0,117.9354,20.852713178294575,69.06976744186046,0.32170542635658916,0.45271317829457364
Yucatan,184.0,168.0,30.0,16.0413,16.304347826086957,91.30434782608695,0.30978260869565216,0.46195652173913043
Zacatecas,452.0,465.0,98.0,39.4972,21.68141592920354,102.87610619469028,0.35398230088495575,0.4026548672566372
